Neighborhood,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013,Neighborhood Tabulation Area Code (NTA Code),Borough Name, Total Population , Total Number of Households ,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",No Broadband (Percentage of Households),"No Broadand by Quartiles (High, Medium High, Medium Low, Low)",Commercial Fiber Max ISP Choice by NTA,Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Residential Broadband ISP Choice Average by NTA,Residential Broadband ISP Choice Average by Quartiles,Total Poles,Reserved Poles,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Number of Public Computer Centers with free public Wi-Fi,Number of Public Computer Center Workstations,Number of Public Computer Center Open Lab Hours
Mosholu,Bronx,3706,0.32,0.26,0.24,0.31,0.12,0.13,0.40,0.33,"30,646",0.17,0.34,0.43,"29,069",0.18,BX22,Bronx," 28,157 "," 11,121 ",0.77,Medium High Connected,0.79,Medium Low Connected,0.12,Medium Low,3,0.09,Medium Low,1.83,Medium Low,29,2,16.48,2,0,FALSE,3,51,5.729166667
University Heights,Bronx,3707,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,"25,951",0.20,0.39,0.44,"24,261",0.16,BX36,Bronx," 57,214 "," 19,531 ",0.59,Low Connected,0.80,Medium Low Connected,0.23,High,4,0.27,High,1.69,Low,70,15,92.11,8,7,TRUE,4,145,6.854166667
Fordham,Bronx,3707,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,"25,951",0.20,0.39,0.44,"24,261",0.16,BX40,Bronx," 28,366 "," 9,038 ",0.58,Low Connected,0.82,Medium High Connected,0.20,High,3,0.05,Medium Low,1.70,Low,25,1,108.70,9,8,TRUE,0,0,12/31/1899 12:00:00 AM
Highbridge,Bronx,3708,0.37,0.27,0.26,0.34,0.12,0.14,0.38,0.40,"22,849",0.19,0.34,0.41,"26,387",0.15,BX26,Bronx," 38,629 "," 13,757 ",0.57,Low Connected,0.79,Medium Low Connected,0.25,High,4,0.21,High,1.67,Low,54,17,91.53,2,1,TRUE,4,109,8.208333333
S. Concourse,Bronx,3708,0.37,0.27,0.26,0.34,0.12,0.14,0.38,0.40,"22,849",0.19,0.34,0.41,"26,387",0.15,BX14,Bronx," 64,459 "," 22,602 ",0.60,Low Connected,0.77,Medium Low Connected,0.22,High,4,0.07,Medium Low,1.79,Low,78,16,120.00,6,2,TRUE,2,42,4.270833333
Soundview,Bronx,3709,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,"35,833",0.12,0.28,0.29,"32,363",0.17,BX55,Bronx," 36,454 "," 11,763 ",0.60,Low Connected,0.79,Medium Low Connected,0.22,High,3,0.08,Medium Low,1.85,Medium Low,40,5,68.97,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Parkchester,Bronx,3709,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,"35,833",0.12,0.28,0.29,"32,363",0.17,BX46,Bronx," 30,318 "," 12,697 ",0.73,Medium High Connected,0.82,Medium High Connected,0.11,Low,3,0.19,High,1.82,Medium Low,17,2,51.52,1,1,TRUE,2,107,4.416666667
Mott Haven,Bronx,3710,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,"21,146",0.20,0.40,0.26,"23,083",0.12,BX39,Bronx," 52,835 "," 19,355 ",0.53,Low Connected,0.75,Low Connected,0.31,High,5,0.13,Medium High,1.68,Low,109,26,72.67,41,23,TRUE,7,162,10.625
Hunts Point,Bronx,3710,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,"21,146",0.20,0.40,0.26,"23,083",0.12,BX27,Bronx," 26,181 "," 8,720 ",0.57,Low Connected,0.76,Low Connected,0.28,High,3,0.25,High,1.71,Low,69,21,38.76,3,1,TRUE,2,76,5.166666667
Washington Heights,Manhattan,3801,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,"37,581",0.16,0.25,0.47,"37,462",0.14,MN35,Manhattan," 72,175 "," 26,316 ",0.72,Medium High Connected,0.80,Medium High Connected,0.13,Medium Low,5,0.00,Low,1.63,Low,25,6,30.86,25,22,TRUE,1,11,1.9375
Inwood,Manhattan,3801,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,"37,581",0.16,0.25,0.47,"37,462",0.14,MN01,Manhattan," 52,529 "," 19,828 ",0.65,Medium Low Connected,0.78,Medium Low Connected,0.16,Medium High,5,0.00,Low,1.65,Low,23,3,35.94,2,1,TRUE,4,92,6.5625
Morningside Heights,Manhattan,3802,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,"39,486",0.11,0.17,0.32,"45,600",0.08,MN09,Manhattan," 54,801 "," 19,599 ",0.75,Medium High Connected,0.81,Medium High Connected,0.15,Medium Low,5,0.00,Low,1.97,Medium High,65,17,90.28,42,39,TRUE,6,108,9.708333333
Hamilton Heights,Manhattan,3802,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,"39,486",0.11,0.17,0.32,"45,600",0.08,MN04,Manhattan," 52,510 "," 19,391 ",0.76,Medium High Connected,0.82,Medium High Connected,0.14,Medium Low,4,0.00,Low,1.58,Low,67,11,115.52,63,53,TRUE,2,97,4.333333333
Central Harlem,Manhattan,3803,0.23,0.28,0.20,0.30,0.13,0.16,0.25,0.23,"35,350",0.15,0.26,0.23,"36,917",0.11,MN03,Manhattan," 86,144 "," 34,734 ",0.67,Medium Low Connected,0.78,Medium Low Connected,0.17,Medium High,5,0.00,Low,1.78,Low,55,9,60.44,101,60,TRUE,13,275,20.60416667
East Harlem,Manhattan,3804,0.28,0.24,0.19,0.27,0.12,0.14,0.27,0.23,"30,900",0.14,0.30,0.24,"26,941",0.13,MN34,Manhattan," 61,330 "," 25,181 ",0.59,Low Connected,0.68,Low Connected,0.27,High,5,0.00,Low,1.71,Low,71,24,80.68,65,38,TRUE,9,160,17.33333333
Upper East Side,Manhattan,3805,0.02,0.12,0.04,0.18,0.09,0.12,0.21,0.03,"105,217",0.06,0.03,0.22,"107,690",0.04,MN40,Manhattan," 54,413 "," 27,065 ",0.86,High Connected,0.89,High Connected,0.04,Low,10,0.00,Low,2.48,High,125,11,173.61,54,51,TRUE,1,45,2.083333333
Upper West Side,Manhattan,3806,0.06,0.14,0.05,0.19,0.09,0.12,0.22,0.08,"92,160",0.06,0.06,0.25,"99,273",0.07,MN12,Manhattan," 130,223 "," 63,305 ",0.82,High Connected,0.85,High Connected,0.09,Low,6,0.00,Low,2.49,High,156,19,126.83,143,140,TRUE,5,177,7.666666667
Chelsea,Manhattan,3807,0.07,0.15,0.05,0.20,0.10,0.13,0.26,0.07,"83,030",0.08,0.08,0.26,"100,635",0.06,MN13,Manhattan," 77,490 "," 44,426 ",0.83,High Connected,0.87,High Connected,0.07,Low,12,0.00,Low,2.22,High,151,32,113.53,156,110,TRUE,5,104,9.916666667
Clinton,Manhattan,3807,0.07,0.15,0.05,0.20,0.10,0.13,0.26,0.07,"83,030",0.08,0.08,0.26,"100,635",0.06,MN15,Manhattan," 52,941 "," 30,512 ",0.80,High Connected,0.85,High Connected,0.10,Low,9,0.00,Low,2.30,High,53,0,80.30,46,44,TRUE,3,69,6
Midtown,Manhattan,3807,0.07,0.15,0.05,0.20,0.10,0.13,0.26,0.07,"83,030",0.08,0.08,0.26,"100,635",0.06,MN17,Manhattan," 27,754 "," 15,640 ",0.85,High Connected,0.89,High Connected,0.06,Low,15,0.00,Low,2.47,High,297,51,275.00,160,144,TRUE,5,500,10.58333333
Stuyvesant Town,Manhattan,3808,0.04,0.13,0.03,0.16,0.10,0.12,0.21,0.05,"101,548",0.07,0.05,0.20,"108,077",0.03,MN50,Manhattan," 22,335 "," 10,501 ",0.84,High Connected,0.89,High Connected,0.08,Low,5,0.00,Low,2.12,High,13,0,65.00,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Turtle Bay,Manhattan,3808,0.04,0.13,0.03,0.16,0.10,0.12,0.21,0.05,"101,548",0.07,0.05,0.20,"108,077",0.03,MN19,Manhattan," 50,121 "," 29,022 ",0.87,High Connected,0.90,High Connected,0.05,Low,11,0.00,Low,2.35,High,88,5,141.94,111,108,TRUE,4,106,7.958333333
Lower East Side,Manhattan,3809,0.15,0.18,0.10,0.19,0.10,0.12,0.38,0.27,"39,162",0.07,0.29,0.34,"40,133",0.11,MN28,Manhattan," 68,838 "," 31,824 ",0.48,Low Connected,0.68,Low Connected,0.27,High,4,0.00,Low,1.77,Low,94,2,111.90,7,0,FALSE,10,199,13.33333333
Chinatown,Manhattan,3809,0.15,0.18,0.10,0.19,0.10,0.12,0.38,0.27,"39,162",0.07,0.29,0.34,"40,133",0.11,MN27,Manhattan," 42,766 "," 18,226 ",0.57,Low Connected,0.70,Low Connected,0.32,High,8,0.00,Low,1.54,Low,68,4,130.77,29,21,TRUE,3,70,6.895833333
Greenwich Village,Manhattan,3810,0.02,0.12,0.03,0.17,0.10,0.12,0.22,0.05,"119,866",0.05,0.04,0.24,"125,311",0.04,MN23,Manhattan," 65,393 "," 35,603 ",0.86,High Connected,0.90,High Connected,0.05,Low,10,0.00,Low,2.15,High,168,15,186.67,49,35,TRUE,4,72,8.645833333
Financial District,Manhattan,3810,0.02,0.12,0.03,0.17,0.10,0.12,0.22,0.05,"119,866",0.05,0.04,0.24,"125,311",0.04,MN25,Manhattan," 46,466 "," 22,194 ",0.91,High Connected,0.94,High Connected,0.03,Low,13,0.00,Low,2.12,High,144,7,211.76,52,51,TRUE,2,38,3.6875
South Shore,Staten,3901,0.03,0.14,0.04,0.16,0.09,0.10,0.15,0.04,"81,322",0.08,0.06,0.14,"85,165",0.06,SI54,Staten Island," 41,724 "," 15,081 ",0.79,High Connected,0.81,Medium High Connected,0.10,Low,3,0.02,Low,1.98,Medium High,60,16,18.69,2,0,FALSE,2,74,3.833333333
Mid-Island,Staten,3902,0.05,0.15,0.06,0.17,0.09,0.11,0.27,0.06,"71,058",0.07,0.11,0.25,"68,661",0.07,SI05,Staten Island," 42,160 "," 13,749 ",0.80,High Connected,0.78,Medium Low Connected,0.12,Medium Low,6,0.28,High,1.73,Low,71,19,6.04,5,0,FALSE,3,31,3.625
North Shore,Staten,3903,0.13,0.24,0.11,0.23,0.11,0.12,0.22,0.16,"54,206",0.10,0.15,0.22,"60,721",0.08,SI22,Staten Island," 31,284 "," 12,036 ",0.62,Low Connected,0.72,Low Connected,0.26,High,3,0.07,Medium Low,1.95,Medium High,62,18,30.85,18,1,TRUE,4,134,5.75
Williamsburg,Brooklyn,4001,0.12,0.15,0.10,0.22,0.11,0.13,0.24,0.30,"47,003",0.09,0.21,0.25,"52,419",0.06,BK72,Brooklyn," 33,828 "," 8,144 ",0.24,Low Connected,0.38,Low Connected,0.65,High,2,0.35,High,1.93,Medium High,13,4,30.95,1,0,FALSE,2,33,2.083333333
Greenpoint,Brooklyn,4001,0.12,0.15,0.10,0.22,0.11,0.13,0.24,0.30,"47,003",0.09,0.21,0.25,"52,419",0.06,BK76,Brooklyn," 34,554 "," 16,242 ",0.76,Medium High Connected,0.86,High Connected,0.13,Medium Low,3,0.16,Medium High,1.86,Medium Low,17,8,13.39,15,7,TRUE,1,12,2.208333333
Bushwick,Brooklyn,4002,0.29,0.27,0.20,0.29,0.12,0.13,0.35,0.30,"34,142",0.15,0.23,0.38,"43,354",0.15,BK77,Brooklyn," 56,384 "," 19,684 ",0.61,Low Connected,0.84,High Connected,0.17,Medium High,4,0.10,Medium High,2.28,High,33,9,37.08,10,1,TRUE,2,50,3.666666667
Bedford Stuyvesant,Brooklyn,4003,0.26,0.28,0.21,0.29,0.14,0.16,0.19,0.28,"32,334",0.18,0.32,0.20,"37,195",0.16,BK75,Brooklyn," 79,075 "," 27,263 ",0.60,Low Connected,0.77,Medium Low Connected,0.24,High,3,0.15,Medium High,1.94,Medium High,34,8,29.06,11,5,TRUE,5,72,4.875
Brooklyn Heights,Brooklyn,4004,0.13,0.18,0.09,0.23,0.11,0.14,0.20,0.14,"62,045",0.12,0.14,0.19,"76,040",0.09,BK09,Brooklyn," 23,758 "," 11,150 ",0.86,High Connected,0.88,High Connected,0.05,Low,6,0.16,Medium High,2.41,High,32,8,88.89,27,20,TRUE,2,43,3.875
Fort Greene,Brooklyn,4004,0.13,0.18,0.09,0.23,0.11,0.14,0.20,0.14,"62,045",0.12,0.14,0.19,"76,040",0.09,BK68,Brooklyn," 32,376 "," 13,905 ",0.78,High Connected,0.82,Medium High Connected,0.13,Medium Low,4,0.05,Medium Low,2.00,Medium High,26,8,44.07,46,21,TRUE,3,34,4.5
Park Slope,Brooklyn,4005,0.06,0.16,0.07,0.19,0.10,0.13,0.18,0.08,"87,293",0.08,0.09,0.17,"101,789",0.05,BK37,Brooklyn," 74,137 "," 30,775 ",0.86,High Connected,0.91,High Connected,0.05,Low,3,0.17,High,2.39,High,54,11,35.53,35,28,TRUE,4,50,7.333333333
Carroll Gardens,Brooklyn,4005,0.06,0.16,0.07,0.19,0.10,0.13,0.18,0.08,"87,293",0.08,0.09,0.17,"101,789",0.05,BK33,Brooklyn," 43,647 "," 18,153 ",0.81,High Connected,0.85,High Connected,0.11,Low,3,0.24,High,1.86,Medium Low,38,15,23.75,26,6,TRUE,4,52,7.666666667
North Crown Heights,Brooklyn,4006,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,"40,511",0.14,0.26,0.30,"39,034",0.09,BK61,Brooklyn," 111,782 "," 48,089 ",0.67,Medium Low Connected,0.81,Medium High Connected,0.19,Medium High,4,0.09,Medium Low,1.64,Low,69,21,37.30,44,28,TRUE,9,152,17.04166667
Prospect Heights,Brooklyn,4006,0.22,0.26,0.19,0.29,0.13,0.15,0.32,0.29,"40,511",0.14,0.26,0.30,"39,034",0.09,BK64,Brooklyn," 22,301 "," 9,791 ",0.87,High Connected,0.89,High Connected,0.06,Low,4,0.06,Medium Low,2.27,High,16,2,43.24,15,13,TRUE,0,0,12/31/1899 12:00:00 AM
Brownsville,Brooklyn,4007,0.34,0.29,0.28,0.33,0.15,0.17,0.28,0.37,"25,766",0.19,0.33,0.31,"27,933",0.16,BK81,Brooklyn," 51,236 "," 21,771 ",0.56,Low Connected,0.69,Low Connected,0.26,High,3,0.18,High,1.64,Low,47,19,40.17,11,1,TRUE,10,178,18.70833333
Ocean Hill,Brooklyn,4007,0.34,0.29,0.28,0.33,0.15,0.17,0.28,0.37,"25,766",0.19,0.33,0.31,"27,933",0.16,BK79,Brooklyn," 36,805 "," 13,968 ",0.65,Medium Low Connected,0.85,High Connected,0.24,High,3,0.23,High,1.47,Low,20,3,27.78,13,5,TRUE,2,41,2.916666667
East New York,Brooklyn,4008,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,"29,857",0.13,0.26,0.35,"36,943",0.13,BK82,Brooklyn," 99,982 "," 35,454 ",0.70,Medium Low Connected,0.83,Medium High Connected,0.18,Medium High,4,0.09,Medium Low,1.90,Medium Low,77,42,18.33,15,5,TRUE,8,139,12.29166667
Starrett City,Brooklyn,4008,0.28,0.27,0.22,0.34,0.13,0.15,0.34,0.32,"29,857",0.13,0.26,0.35,"36,943",0.13,BK93,Brooklyn," 12,553 "," 6,602 ",0.63,Medium Low Connected,0.63,Low Connected,0.26,High,3,0.52,High,1.19,Low,1,0,2.38,0,0,FALSE,1,12,1.666666667
Flatlands,Brooklyn,4009,0.10,0.30,0.09,0.33,0.11,0.11,0.42,0.11,"59,616",0.12,0.09,0.38,"66,283",0.09,BK58,Brooklyn," 70,560 "," 23,191 ",0.78,High Connected,0.83,Medium High Connected,0.11,Medium Low,4,0.07,Medium Low,1.92,Medium Low,14,8,7.18,2,1,TRUE,3,44,5.666666667
Canarsie,Brooklyn,4009,0.10,0.30,0.09,0.33,0.11,0.11,0.42,0.11,"59,616",0.12,0.09,0.38,"66,283",0.09,BK50,Brooklyn," 88,884 "," 29,541 ",0.79,High Connected,0.82,Medium High Connected,0.12,Medium Low,3,0.08,Medium Low,1.93,Medium High,43,19,14.63,2,1,TRUE,2,28,2.875
East Flatbush,Brooklyn,4010,0.16,0.36,0.16,0.41,0.11,0.13,0.52,0.14,"44,629",0.13,0.15,0.52,"42,666",0.11,BK42,Brooklyn," 104,103 "," 38,759 ",0.69,Medium Low Connected,0.79,Medium Low Connected,0.17,Medium High,4,0.19,High,1.57,Low,45,19,27.78,9,8,TRUE,6,63,10.5625
South Crown Heights,Brooklyn,4011,0.20,0.32,0.16,0.37,0.12,0.14,0.45,0.18,"37,446",0.17,0.16,0.43,"46,294",0.14,BK63,Brooklyn," 39,594 "," 13,171 ",0.68,Medium Low Connected,0.77,Low Connected,0.19,Medium High,3,0.13,Medium High,1.63,Low,23,9,40.35,11,8,TRUE,0,0,12/31/1899 12:00:00 AM
Sunset Park,Brooklyn,4012,0.17,0.24,0.12,0.23,0.10,0.11,0.44,0.21,"42,544",0.08,0.28,0.49,"45,075",0.11,BK34,Brooklyn," 64,170 "," 18,783 ",0.64,Medium Low Connected,0.77,Medium Low Connected,0.22,High,4,0.12,Medium High,2.58,High,19,3,19.59,0,0,FALSE,1,18,1.729166667
Bay Ridge,Brooklyn,4013,0.06,0.16,0.06,0.19,0.09,0.11,0.37,0.12,"56,541",0.10,0.13,0.39,"58,621",0.10,BK31,Brooklyn," 78,892 "," 33,164 ",0.74,Medium High Connected,0.81,Medium High Connected,0.11,Low,3,0.38,High,1.97,Medium High,39,4,16.18,8,2,TRUE,5,74,9.333333333
Borough Park,Brooklyn,4014,0.10,0.15,0.08,0.21,0.09,0.12,0.31,0.28,"34,374",0.08,0.28,0.30,"40,571",0.07,BK88,Brooklyn," 99,534 "," 25,419 ",0.43,Low Connected,0.54,Low Connected,0.42,High,4,0.12,Medium High,1.66,Low,51,14,26.29,8,1,TRUE,5,66,9.875
Flatbush,Brooklyn,4015,0.13,0.24,0.12,0.28,0.10,0.12,0.45,0.18,"40,470",0.11,0.21,0.43,"42,312",0.10,BK42,Brooklyn," 104,103 "," 38,759 ",0.69,Medium Low Connected,0.79,Medium Low Connected,0.17,Medium High,4,0.19,High,1.57,Low,45,19,27.78,9,8,TRUE,6,63,10.5625
Sheepshead Bay,Brooklyn,4016,0.06,0.14,0.06,0.20,0.08,0.09,0.46,0.12,"47,610",0.09,0.12,0.46,"51,064",0.08,BK17,Brooklyn," 65,167 "," 25,483 ",0.77,Medium High Connected,0.76,Low Connected,0.12,Medium Low,2,0.20,High,1.82,Medium Low,36,11,15.86,18,2,TRUE,4,69,7.458333333
Gravesend,Brooklyn,4016,0.06,0.14,0.06,0.20,0.08,0.09,0.46,0.12,"47,610",0.09,0.12,0.46,"51,064",0.08,BK26,Brooklyn," 30,294 "," 11,421 ",0.72,Medium High Connected,0.76,Low Connected,0.16,Medium High,3,0.10,Medium High,1.92,Medium Low,9,4,8.04,1,1,TRUE,2,21,3.895833333
Bensonhurst,Brooklyn,4017,0.07,0.19,0.06,0.20,0.08,0.10,0.54,0.15,"44,464",0.10,0.14,0.55,"47,272",0.09,BK28,Brooklyn," 89,889 "," 29,960 ",0.72,Medium Low Connected,0.81,Medium High Connected,0.14,Medium Low,3,0.18,High,1.83,Medium Low,28,13,16.77,0,0,FALSE,1,10,1.354166667
Coney Island,Brooklyn,4018,0.10,0.15,0.10,0.24,0.08,0.10,0.56,0.18,"28,106",0.13,0.19,0.54,"30,850",0.13,BK21,Brooklyn," 31,120 "," 11,553 ",0.55,Low Connected,0.61,Low Connected,0.29,High,3,0.20,High,1.83,Medium Low,20,16,14.39,32,30,TRUE,5,66,8.708333333
Astoria,Queens,4101,0.12,0.19,0.10,0.23,0.10,0.13,0.42,0.18,"46,716",0.11,0.16,0.40,"50,960",0.10,QN70,Queens," 74,094 "," 33,181 ",0.78,High Connected,0.83,Medium High Connected,0.12,Medium Low,3,0.16,Medium High,2.66,High,32,16,22.70,54,50,TRUE,4,39,6.25
Jackson Heights,Queens,4102,0.14,0.32,0.14,0.32,0.09,0.10,0.63,0.18,"46,619",0.08,0.16,0.62,"49,181",0.07,QN28,Queens," 98,046 "," 35,033 ",0.76,Medium High Connected,0.84,High Connected,0.15,Medium Low,3,0.15,Medium High,1.95,Medium High,57,33,33.14,25,25,TRUE,3,40,5.583333333
Flushing,Queens,4103,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,"49,630",0.10,0.14,0.57,"50,490",0.07,QN22,Queens," 68,600 "," 26,035 ",0.47,Low Connected,0.72,Low Connected,0.26,High,5,0.05,Medium Low,2.39,High,70,27,51.47,6,3,TRUE,5,180,10.89583333
Whitestone,Queens,4103,0.06,0.22,0.05,0.19,0.08,0.09,0.57,0.12,"49,630",0.10,0.14,0.57,"50,490",0.07,QN49,Queens," 31,749 "," 11,209 ",0.76,Medium High Connected,0.80,Medium High Connected,0.12,Medium Low,3,0.10,Medium High,1.91,Medium Low,45,16,18.15,1,1,TRUE,1,18,1.833333333
Bayside,Queens,4104,0.02,0.19,0.03,0.16,0.08,0.08,0.42,0.08,"77,028",0.08,0.06,0.43,"72,158",0.07,QN46,Queens," 42,718 "," 15,234 ",0.80,High Connected,0.82,Medium High Connected,0.09,Low,3,0.06,Medium Low,1.94,Medium High,66,24,22.76,1,1,TRUE,1,19,1.958333333
Little Neck,Queens,4104,0.02,0.19,0.03,0.16,0.08,0.08,0.42,0.08,"77,028",0.08,0.06,0.43,"72,158",0.07,QN45,Queens," 25,400 "," 9,792 ",0.80,High Connected,0.77,Medium Low Connected,0.12,Medium Low,2,0.10,Medium High,2.03,High,14,6,5.71,2,1,TRUE,3,21,5.125
Bellerose,Queens,4105,0.05,0.33,0.06,0.30,0.10,0.10,0.41,0.07,"75,363",0.10,0.07,0.41,"76,885",0.10,QN43,Queens," 27,643 "," 8,243 ",0.79,High Connected,0.81,Medium High Connected,0.09,Low,3,0.10,Medium High,1.95,Medium High,18,12,9.09,7,1,TRUE,2,15,3.625
Rosedale,Queens,4105,0.05,0.33,0.06,0.30,0.10,0.10,0.41,0.07,"75,363",0.10,0.07,0.41,"76,885",0.10,QN05,Queens," 26,680 "," 7,862 ",0.75,Medium High Connected,0.87,High Connected,0.10,Low,3,0.11,Medium High,2.08,High,15,7,6.79,1,1,TRUE,1,18,1.833333333
